resort_name, resort_state, resort_terrain, resort_latitude, resort_longitude
Aspen Narrows Ski Trail, NEW MEXICO, Alpine, 35.20694, -106.41778
Baby Bear Ski Trail, NEW MEXICO, Alpine, 36.59444, -105.45222
Cascade Ski Trail, NEW MEXICO, Alpine, 32.95056, -105.70417
Fire Escape Ski Trail, NEW MEXICO, Alpine, 36.3875, -105.27222
High Noon, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Midway Ski Trail, NEW MEXICO, Alpine, 36.59556, -105.45222
Pajarito Mountain Ski Area, NEW MEXICO, Both, 35.89033, -106.3928
Psycho Path, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Red River Ski Area, NEW MEXICO, Both, 36.70754, -105.41584
Rio Costilla Ski Area, NEW MEXICO, Both, 36.85893, -105.44806
Sierra Blanca Ski Area, NEW MEXICO, Both, 33.39733, -105.79916
Sipapu Ski Area, NEW MEXICO, Both, 36.15505, -105.55195
Ski Cloudcroft Ski Area, NEW MEXICO, Both, 32.9493, -105.7061
Snakedance, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Top Notch Ski Area, NEW MEXICO, Alpine, 33.39733, -105.78861
Totemoff, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Triple Chair Number Five Ski Trail, NEW MEXICO, Alpine, 33.39778, -105.78806
Val Verde Ski Area, NEW MEXICO, Both, 36.55505, -105.32166
Whitefeather, NEW MEXICO, Cross-Country, 36.59449, -105.45278
Allegany XC Trail, NEW YORK, Alpine, 42.15778, -78.71528
Bald Hill Ski Bowl, NEW YORK, Both, 40.84389, -73.02278
Belleayre Ski Area, NEW YORK, Both, 42.14417, -74.49028
Big Tupper Ski Area, NEW YORK, Both, 44.22389, -74.46444
Bob Cat Ski Center, NEW YORK, Both, 42.18861, -74.78611
Bova Ski Tow, NEW YORK, Both, 42.10111, -78.71639
Brantling Ski Area, NEW YORK, Both, 43.1475, -77.06917
Bristol Mountain Ski Area, NEW YORK, Both, 42.87417, -77.28833
Byrncliff Resort Ski Area, NEW YORK, Both, 42.76333, -78.31
Catamount Ski Area, NEW YORK, Both, 42.17889, -73.52639
Cockaigne Ski Area, NEW YORK, Both, 42.29444, -79.1
Cortina Valley Ski Area, NEW YORK, Both, 42.19583, -74.0975
Dry Hill Ski Area, NEW YORK, Both, 43.97472, -75.91111
Fahnestock Ski Slope, NEW YORK, Both, 41.47528, -73.81833
Four Seasons Ski Area, NEW YORK, Both, 43.02972, -76.00472
Friends Lake Inn XC Trail, NEW YORK, Cross-Country, 43.62944, -73.84278
Frost Ridge Ski Area, NEW YORK, Both, 42.97833, -77.98444
Garnett Hill XC Ski Trail, NEW YORK, Cross-Country, 43.73861, -74.04917
Gore Mountain Ski Area, NEW YORK, Both, 43.67639, -74.03556
Greek Peak Ski Area, NEW YORK, Both, 42.60111, -76.18083
Hickory Ski Area, NEW YORK, Both, 42.81417, -73.94
Holiday Mountain Ski Area, NEW YORK, Both, 41.65556, -74.68972
Holiday Valley Ski Area, NEW YORK, Alpine, 42.26194, -78.68
Holiday Valley Ski Club, NEW YORK, Alpine, 42.26194, -78.68
Holimont Ski Area, NEW YORK, Both, 42.2725, -78.68889
Holimont Ski Club, NEW YORK, Alpine, 42.2725, -78.68889
Hunt Hollow Ski Area, NEW YORK, Both, 42.61528, -77.40278
Hunter Mountain Ski area, NEW YORK, Both, 42.17778, -74.23083
Kissing Bridge Ski Area, NEW YORK, Both, 42.61917, -78.65806
Labrador Mountain Ski Area, NEW YORK, Both, 42.75722, -76.07417
Lapland Lake Ski Area, NEW YORK, Both, 43.22556, -74.1725
Maple Ski Ridge, NEW YORK, Both, 42.81417, -73.94
McCauley Mt. Ski Area, NEW YORK, Both, 43.39583, -74.89
Mount Peter Ski Area, NEW YORK, Both, 41.24139, -74.29111
Mount Pisgah Ski Area, NEW YORK, Both, 44.34528, -74.12583
Mt. Vanhoevenberg XC Ski Trail, NEW YORK, Cross-Country, 44.27944, -73.98028
North Hampton Park Ski Area, NEW YORK, Both, 43.21361, -77.93944
Olympic Ski Jump, NEW YORK, Both, 44.25639, -73.965
Paleface Ski Center, NEW YORK, Both, 44.38111, -73.75556
Peek n Peak Ski Area, NEW YORK, Both, 42.11917, -79.73278
Poverty Hill Ski Club, NEW YORK, Both, 42.31556, -78.69583
Skaneateles Ski Area, NEW YORK, Both, 42.94694, -76.42944
Ski Plattekill Ski Area, NEW YORK, Both, 42.26667, -74.64861
Ski Tamarack Ski Area, NEW YORK, Both, 42.64417, -78.685
Ski Valley Club, NEW YORK, Both, 42.61528, -77.40278
Snow Ridge Ski Area, NEW YORK, Both, 43.62722, -75.41167
Song Mountain Ski Area, NEW YORK, Both, 42.79806, -76.10972
Sterling Forest Ski Area, NEW YORK, Both, 41.1825, -74.31917
Swain Ski Area, NEW YORK, Both, 42.47778, -77.85361
Taconic Trails Ski Area, NEW YORK, Both, 42.72222, -73.27917
Thunder Ridge Ski Area, NEW YORK, Both, 41.51361, -73.60667
Titus Mountain Ski Area, NEW YORK, Both, 44.72611, -74.23778
Toggenberg Ski Area, NEW YORK, Both, 42.835, -75.98639
West Mountain Ski Area, NEW YORK, Both, 43.30944, -73.81583
White Face Mountain Ski Area, NEW YORK, Both, 44.38833, -73.81583
Willard Mountain Ski Area, NEW YORK, Both, 43.02, -73.52361
Windham Ski Area, NEW YORK, Both, 42.29167, -74.25972
Woods Valley Ski Area, NEW YORK, Both, 43.30556, -75.38333
Alpine Valley Ski Area, OHIO, Both, 41.24111, -81.55278
Boston Mills Ski Area, OHIO, Both, 41.27611, -81.53833
Clear Fork Ski Resort, OHIO, Both, 40.58833, -82.425
Mad River Mountain Ski Area, OHIO, Both, 40.36111, -83.75972
Snowtrails Ski Area, OHIO, Both, 40.75833, -82.51556
Spicy Run Ski Area, OHIO, Both, 39.09889, -83.24667
Valley Hi Ski Area, OHIO, Both, 40.31333, -83.675
Alpine Ski Trail, OREGON, Alpine, 45.31889, -121.73139
Anthony Lakes Ski Area, OREGON, Both, 44.96403, -118.23521
Arbuckle Ski Area, OREGON, Both, 45.19596, -119.24275
Cooper Spur Ski Area, OREGON, Both, 45.4126, -121.60559
Cooper Spur Ski Trail, OREGON, Alpine, 45.40472, -121.63083
Elk Lake Resort, OREGON, Both, 43.97889, -121.80806
Glade Ski Trail, OREGON, Alpine, 45.32083, -121.735
Hoodoo Ski Area, OREGON, Both, 44.40917, -121.87333
Mount Ashland Ski Area, OREGON, Both, 42.08317, -122.70945
Mount Hood Meadow Ski Area, OREGON, Both, 45.33121, -121.66365
Mt. Bachelor Ski Area, OREGON, Both, 43.99528, -121.68028
Mt. Bailey Snowcat Skiing, OREGON, Both, 43.15528, -122.21944
Mt. Hood Skibowl, OREGON, Both, 45.29472, -121.76861
Shelter Cove Resort - Odell Lake, OREGON, Both, 43.54917, -121.96361
Spout Springs Ski Area, OREGON, Both, 45.75403, -118.05161
Summit Ski Area, OREGON, Both, 45.30417, -121.75361
Summit Sno-Park, OREGON, Both, 42.39639, -122.28389
Sunriver Resort, OREGON, Both, 43.88417, -121.4375
Timberline Ski Area, OREGON, Both, 45.40306, -121.72833
Warner Canyon Ski Area, OREGON, Both, 42.23736, -120.29689
Willamette Pass Ski Area, OREGON, Both, 43.60177, -122.03169
Alpine Mountain Ski Area, PENNSYLVANIA, Both, 41.11083, -75.23
Apple Hill Ski Resort, PENNSYLVANIA, Both, 40.63139, -75.60861
Bear Creek Ski Area, PENNSYLVANIA, Both, 40.51583, -75.55556
Big Boulder Ski Resort, PENNSYLVANIA, Both, 41.05, -75.60056
Blue Knob Ski Area, PENNSYLVANIA, Both, 40.28833, -78.56194
Blue Mountain Ski Area, PENNSYLVANIA, Both, 40.80139, -75.61056
Boyce Park Ski Area, PENNSYLVANIA, Both, 40.46778, -79.74944
Camelback Ski Area, PENNSYLVANIA, Both, 41.04778, -75.35556
Canadohta Ski Slope, PENNSYLVANIA, Both, 41.83222, -79.85833
Chadds Peak Camp and Ski School, PENNSYLVANIA, Both, 39.87139, -75.62167
Crystal Lake Ski Area, PENNSYLVANIA, Both, 41.24111, -76.72417
Denton Hill Ski Area, PENNSYLVANIA, Both, 41.77222, -77.83194
Doe Mountain Ski Area, PENNSYLVANIA, Both, 40.47528, -75.62889
Eagle Rock Ski Area, PENNSYLVANIA, Both, 40.95833, -75.975
Elk Mountain Ski Center, PENNSYLVANIA, Both, 41.72, -75.5575
Fernwood Ski Area (historical), PENNSYLVANIA, Both, 41.07972, -75.01667
Glade Knob Ski Slope, PENNSYLVANIA, Both, 39.76139, -79.24083
Hidden Valley Ski Area, PENNSYLVANIA, Both, 40.05806, -79.2575
Jack Frost Mountain Ski Area, PENNSYLVANIA, Both, 41.10778, -75.65361
Laurel Mountain Ski Resort, PENNSYLVANIA, Both, 40.15639, -79.16806
Little Gap Ski Area, PENNSYLVANIA, Both, 40.81, -75.52
Masthope Ski Area, PENNSYLVANIA, Both, 41.51417, -75.03139
Montage Ski Area, PENNSYLVANIA, Both, 41.35833, -75.67056
Mount Airy Lodge Ski Area, PENNSYLVANIA, Both, 41.10667, -75.32333
Mount Pleasant Ski Resort, PENNSYLVANIA, Both, 41.85222, -80.07417
Mount Tone Ski Area, PENNSYLVANIA, Both, 41.84583, -75.30333
Mt. View Ski Area, PENNSYLVANIA, Both, 41.87417, -80.13194
Mystic Mountain Ski Area, PENNSYLVANIA, Both, 39.87833, -79.925
Plateau De Mount Ski Area, PENNSYLVANIA, Both, 40.07222, -79.22861
Pocono Manor Ski Area, PENNSYLVANIA, Both, 41.0975, -75.35667
Richmond Hill Ski Area, PENNSYLVANIA, Both, 39.95778, -77.91389
Saw Creek Ski Area, PENNSYLVANIA, Both, 41.12083, -75.045
Seven Springs Ski Area, PENNSYLVANIA, Both, 40.02306, -79.2975
Shawnee Mountain Ski Area, PENNSYLVANIA, Both, 41.03806, -75.07861
Ski Big Bear Ski Area, PENNSYLVANIA, Both, 41.48194, -74.98639
Ski Liberty Ski Area, PENNSYLVANIA, Both, 39.75972, -77.37111
Ski Roundtop Ski Area, PENNSYLVANIA, Both, 40.10667, -76.92667
Ski Sawmill Ski Area, PENNSYLVANIA, Both, 41.52389, -77.29111
Ski Snowpeak, PENNSYLVANIA, Both, 40.545, -77.24667
Snozone Ski Area, PENNSYLVANIA, Both, 40.25222, -80.00306
Split Rock Ski Area, PENNSYLVANIA, Both, 41.06167, -75.62083
Tamiment Ski Area, PENNSYLVANIA, Both, 41.13417, -75.015
Tanglewood Ski Area, PENNSYLVANIA, Both, 41.41306, -75.16472
Tussey Mountain Ski Resort, PENNSYLVANIA, Both, 40.76917, -77.75361
White Mountain Ski Area, PENNSYLVANIA, Both, 40.01444, -79.3325
Whitetail Ski Area, PENNSYLVANIA, Both, 39.82778, -77.90361
Willowbrook Ski Area, PENNSYLVANIA, Both, 40.125, -79.86667
Yawgoo Ski Area, RHODE ISLAND, Both, 41.53556, -71.55444
Big Hill Ski Trail, SOUTH DAKOTA, Alpine, 44.40889, -103.93333
Deer Mountain Ski Area, SOUTH DAKOTA, Both, 44.30167, -103.825
Great Bear Ski Area, SOUTH DAKOTA, Both, 43.55, -96.7
Terry Peak Ski Area, SOUTH DAKOTA, Both, 44.3275, -103.83472
Ober Gatlinburg Ski Area, TENNESSEE, Both, 35.71417, -83.51028
Alta Ski Area, UTAH, Both, 40.57967, -111.63828
Beaver Mountain Ski Area, UTAH, Both, 41.96826, -111.54162
Blue Mountain Ski Area, UTAH, Both, 37.86056, -109.4368
Brian Head Ski Area, UTAH, Both, 37.69192, -112.838
Brighton Ski Area, UTAH, Both, 40.59995, -111.58356
Brighton Ski Area Heliport, UTAH, Alpine, 40.60134, -111.58328
Cedar Canyon Ski Area, UTAH, Both, 37.5972, -112.93272
Deer Valley Ski Area, UTAH, Both, 40.63551, -111.4805
Elk Meadows Ski Area, UTAH, Both, 38.32386, -112.37134
Mount Holly Ski Area, UTAH, Both, 38.32053, -112.38411
Nordic Valley Ski Area, UTAH, Both, 41.30494, -111.87247
Park City Ski Area, UTAH, Both, 40.64356, -111.50495
Park City West Ski Area, UTAH, Both, 40.68995, -111.57495
Powder Mountain Ski Area, UTAH, Both, 41.37772, -111.7719
Snow Basin Ski Area, UTAH, Both, 41.21188, -111.8519
Snowland Ski Area, UTAH, Both, 39.65607, -111.33687
Solitude Ski Area, UTAH, Both, 40.62551, -111.59522
Sundance Ski Area, UTAH, Both, 40.38578, -111.58161
Big Bromley Ski Area, VERMONT, Both, 43.22056, -72.94028
Blueberry Lake Ski Touring Center, VERMONT, Alpine, 44.08528, -72.82722
Bolton Valley Ski Area, VERMONT, Both, 44.41583, -72.87028
Burke Mountain Ski Area, VERMONT, Both, 44.58333, -71.90194
Burke Mountain Ski Touring Center, VERMONT, Alpine, 44.59861, -71.90361
Camels Hump Nordic Ski Center, VERMONT, Alpine, 44.33222, -72.94389
Carinthia Ski Area, VERMONT, Both, 42.95722, -72.89778
Catamount Family Ski Area, VERMONT, Both, 44.45778, -73.0533
Chittenden Brook Cross-Country Ski T, VERMONT, Alpine, 43.82722, -72.91278
Churchhill House Ski Area, VERMONT, Both, 43.83167, -73.0525
Cochran Ski Center, VERMONT, Both, 44.39583, -72.9825
Edson Hill Cross Country Ski Center, VERMONT, Alpine, 44.51111, -72.72639
Fox Run Cross Country Ski Center, VERMONT, Alpine, 43.4175, -72.70056
Glen Ellen Ski Area, VERMONT, Both, 44.17361, -72.90667
Grafton Cross Country Ski Center, VERMONT, Alpine, 43.15111, -72.62306
Haystack Mountain Ski Area, VERMONT, Both, 42.92361, -72.90639
Hazens Notch Ski Touring Center, VERMONT, Alpine, 44.87694, -72.58722
Hildene Ski Touring Center, VERMONT, Alpine, 43.14694, -73.08861
Hogback Ski Area, VERMONT, Both, 42.84917, -72.79389
Jay Peak Ski Area, VERMONT, Both, 44.92444, -72.52611
Killington Ski Area, VERMONT, Both, 43.62, -72.80694
Living Memorial Park Ski Area, VERMONT, Both, 43.62, -72.80694
Lyndon Outing Club Ski Area, VERMONT, Both, 44.51694, -71.97472
Mad River Glen Ski Area, VERMONT, Both, 44.20083, -72.925
Majic Mountain Ski Center, VERMONT, Both, 43.20194, -72.77306
Maple Valley Ski Center, VERMONT, Both, 42.9425, -72.6275
Middlebury College Ski Area, VERMONT, Both, 44.01194, -73.18306
Mount Ascuteney Ski Area, VERMONT, Both, 43.46333, -72.46667
Mount Mansfield Ski Area, VERMONT, Both, 44.5275, -72.79583
Mount Snow Ski Area, VERMONT, Both, 42.96389, -72.90639
Mountain Meadows Ski Touring Center, VERMONT, Alpine, 43.66806, -72.8
Nordio Cross Country Ski Area, VERMONT, Alpine, 43.23222, -72.85417
Norwich University Ski Area, VERMONT, Both, 44.13889, -72.64278
Okemo Mountain Ski Area, VERMONT, Both, 43.40444, -72.73278
Oles Cross Country Ski Center, VERMONT, Alpine, 44.11111, -72.82306
Pico Peak Ski Area, VERMONT, Both, 43.66167, -72.84306
Prospect Mountain Ski Center, VERMONT, Both, 42.87528, -73.07583
Rikert Ski Touring Center, VERMONT, Alpine, 43.9375, -72.95444
Round Top Mountain Ski Area, VERMONT, Both, 43.53389, -72.74917
Sherman Hollow Ski Touring Center, VERMONT, Alpine, 44.35667, -73.02528
Sitzmark Cross Country Ski Center, VERMONT, Alpine, 42.92167, -72.83778
Smuggler's Notch Ski Area, VERMONT, Both, 44.55528, -72.79611
Snow Valley Ski Area, VERMONT, Both, 43.19444, -72.97611
Sonneberg Ski Area, VERMONT, Both, 43.72444, -72.58889
Spruce Peak Ski Area, VERMONT, Both, 44.54167, -72.77944
Stowe Ski Area, VERMONT, Both, 44.42972, -72.65056
Stratton Mountain Ski Center, VERMONT, Both, 43.12806, -72.90944
Sugarbush Valley Ski Area, VERMONT, Both, 44.13722, -72.90722
Suicide Six Ski Area, VERMONT, Both, 43.66472, -72.54444
Tater Hill Ski Center, VERMONT, Both, 43.22194, -72.71833
The White Horse Ski Touring Center, VERMONT, Alpine, 42.87333, -72.85222
Timber Creek Ski Resort, VERMONT, Both, 42.96528, -72.8875
Topnotch Ski Touring Center, VERMONT, Alpine, 44.49806, -72.74417
Trail Head Ski Touring Center, VERMONT, Alpine, 43.77806, -72.79806
Trapp Family Lodge and Cross Country, VERMONT, Alpine, 44.465, -72.74528
Tucker Hill Ski Center, VERMONT, Both, 44.18194, -72.86889
Twin Farms Ski Area, VERMONT, Both, 43.72861, -72.61944
Viking Cross Country Ski Area, VERMONT, Alpine, 43.22417, -72.79556
Wild Wings Ski Touring Center, VERMONT, Alpine, 43.25972, -72.90833
Wolf Run Cross Country Ski Center, VERMONT, Alpine, 44.82722, -72.77722
Woodstock Ski Touring Center, VERMONT, Alpine, 43.61472, -72.51583
Bryce Ski Area, VIRGINIA, Both, 38.80639, -78.7725
Massanutten Ski Area, VIRGINIA, Both, 38.40917, -78.75417
The Homestead Ski Area, VIRGINIA, Both, 38.15722, -78.57778
Wintergreen Ski Area, VIRGINIA, Both, 37.88472, -78.89972
Alpental Ski Area, WASHINGTON, Both, 47.44315, -121.42952
Bluewood Ski Area, WASHINGTON, Both, 46.08625, -117.85494
Brooks Memorial State Park Ski Area, WASHINGTON, Both, 45.98622, -120.67364
Echo Valley Ski Area, WASHINGTON, Both, 47.93594, -120.05616
Entiat Valley Ski Area, WASHINGTON, Both, 47.8565, -120.41506
Forty Nine Degrees North Ski Area, WASHINGTON, Both, 48.29403, -117.57109
Loup Loup Ski Area, WASHINGTON, Both, 48.39095, -119.91784
Pacific West Ski Area, WASHINGTON, Both, 47.38815, -121.3998
Ski Acres Ski Area, WASHINGTON, Both, 47.40676, -121.41369
Snoqualmie Summit Ski Area, WASHINGTON, Both, 47.42482, -121.41841
White Pass Ski Area, WASHINGTON, Both, 46.63538, -121.38756
White Pass X Country Ski Area, WASHINGTON, Cross-Country, 46.63538, -121.40395
Alpine Lake Resort, WEST VIRGINIA, Both, 39.47472, -79.50083
Canaan Valley Ski Area, WEST VIRGINIA, Both, 39.13472, -79.40472
Snowshoe Mountain Ski Area, WEST VIRGINIA, Both, 38.41389, -79.99694
Timberline Ski Area, WEST VIRGINIA, Both, 39.13472, -79.40472
Winterplace Ski Area, WEST VIRGINIA, Both, 37.59056, -81.115
Alpine Valley Ski Area, WISCONSIN, Both, 42.78917, -88.39944
Ausblick Ski Area, WISCONSIN, Both, 43.13583, -88.21806
Birch Park Ski Area, WISCONSIN, Both, 45.05333, -92.74861
Bruce Mound Winter Sports Area, WISCONSIN, Both, 44.44389, -90.79222
Calumet Ski Area, WISCONSIN, Both, 44.14028, -88.16389
Cascade Mountain Ski Area, WISCONSIN, Both, 43.49306, -89.51861
Christie Mountain Ski Area, WISCONSIN, Both, 45.47639, -91.45167
Christmas Mountain Ski Area, WISCONSIN, Both, 43.6275, -89.77083
Crystal Ridge Ski Area, WISCONSIN, Both, 42.88639, -88.00972
Devil's Head Ski Area, WISCONSIN, Both, 43.42167, -89.62778
Giant Pine Ski and Hike Trail, WISCONSIN, Alpine, 45.78722, -88.98722
Granite Peak Ski Area, WISCONSIN, Both, 44.95917, -89.63
Hidden Valley Ski Area, WISCONSIN, Both, 44.27639, -87.80722
Lake Geneva Ski Area, WISCONSIN, Both, 42.58861, -88.42972
Little Switzerland Ski Area, WISCONSIN, Both, 43.33361, -88.28611
Minocqua Winter Park, WISCONSIN, Both, 45.87139, -89.71083
Mount Valhalla Ski Area, WISCONSIN, Both, 46.71889, -91.0475
Mt. La Crosse Ski Area, WISCONSIN, Both, 43.80139, -91.23944
Newman Springs Ski Trail, WISCONSIN, Alpine, 45.94694, -90.1958
Nordic Mountain Ski Area, WISCONSIN, Both, 44.11806, -89.18444
Paul Bunyon Ski Area, WISCONSIN, Both, 45.32389, -88.52417
Rib Mountain Ski Area, WISCONSIN, Both, 44.92472, -89.68417
Silver Mine Hill Ski Jump, WISCONSIN, Both, 44.77389, -91.58472
Ski Hill Winter Sports Area, WISCONSIN, Both, 46.13556, -89.19917
Sky Line Ski Area, WISCONSIN, Both, 43.97056, -89.81667
Snow Crest Ski Area, WISCONSIN, Both, 45.095, -92.73417
Standing Rocks Ski Area, WISCONSIN, Both, 44.52361, -89.57444
Sunburst Ski Area, WISCONSIN, Both, 43.17778, -89.29028
Telemark Resort, WISCONSIN, Both, 46.18472, -91.25028
Trollhaugen Ski Area, WISCONSIN, Both, 45.35611, -92.63333
Tyrol Basin Ski Area, WISCONSIN, Both, 43.00917, -89.73361
Whitecap Mountain Ski Area, WISCONSIN, Both, 46.42806, -90.24583
Wilmot Mountain Ski Area, WISCONSIN, Both, 42.51278, -88.18194
Wintergreen Downhill Ski Area, WISCONSIN, Both, 43.14444, -90.08139
Bighorn Ski Area, WYOMING, Both, 44.60938, -107.51487
Elkhart Loop Ski Trail, WYOMING, Alpine, 42.99028, -109.73333
Grouse Mountain Ski Trail, WYOMING, Alpine, 42.94306, -109.71139
Hogadon Basin Ski Area, WYOMING, Both, 42.74552, -106.3387
Jackson Hole Ski Area, WYOMING, Both, 43.59659, -110.84746
Meadowlark Ski Area, WYOMING, Both, 44.1605, -107.21818
Medicine Bow Ski Area, WYOMING, Both, 41.33719, -106.18895
Park Loop Ski Trail, WYOMING, Alpine, 42.94917, -109.74972
White Pine Lodge Ski Area, WYOMING, Both, 42.97772, -109.75742
